IATA_AIRLINE,ID_AIRLINE,IATA_DEP_AIRPORT,ID_DEP_AIRPORT,IATA_ARR_AIRPORT,ID_ARR_AIRPORT,CODESHARE,STOPS,AIRCRAFT_TYPE,dep_geometry,arr_geometry,distance
AS,439,MIA,3576,LAX,3484,Y,0,777 763 757 738,POINT (-80.29060364 25.79319954),POINT (-118.407997 33.942501),4370614.776233523
AS,439,MIA,3576,SFO,3469,Y,0,763 757 738,POINT (-80.29060364 25.79319954),POINT (-122.375 37.61899948),4935277.508280272
AS,439,MSP,3858,LAX,3484,Y,0,753 757,POINT (-93.221802 44.882),POINT (-118.407997 33.942501),3219186.0267559374
AS,439,MSP,3858,SAN,3731,Y,0,738 739,POINT (-93.221802 44.882),POINT (-117.1900024 32.73360062),3186979.7148040645
AS,439,MSY,3861,ATL,3682,Y,0,M90 757 M88,POINT (-90.25800323 29.99340057),POINT (-84.428101 33.6367),805672.9580695201
AS,439,MSY,3861,LAX,3484,Y,0,319,POINT (-90.25800323 29.99340057),POINT (-118.407997 33.942501),3176230.2400846584
AS,439,MSY,3861,SLC,3536,Y,0,319 320,POINT (-90.25800323 29.99340057),POINT (-111.979746 40.785749),2834030.686327608
AS,439,ORD,3830,LAX,3484,Y,0,738,POINT (-87.9048 41.9786),POINT (-118.407997 33.942501),3580805.348910568
AS,439,ORD,3830,MSY,3861,Y,0,E75,POINT (-87.9048 41.9786),POINT (-90.25800323 29.99340057),1675675.2705733648
AS,439,ORD,3830,PDX,3720,,0,73G,POINT (-87.9048 41.9786),POINT (-122.5979996 45.58869934),3901975.865180742
AS,439,ORD,3830,SAN,3731,Y,0,738,POINT (-87.9048 41.9786),POINT (-117.1900024 32.73360062),3508834.002959178
AS,439,ORD,3830,SFO,3469,Y,0,738,POINT (-87.9048 41.9786),POINT (-122.375 37.61899948),3888908.302573175
AS,439,PDX,3720,ATL,3682,,0,73J,POINT (-122.5979996 45.58869934),POINT (-84.428101 33.6367),4589460.524938982
AS,439,PDX,3720,BOS,3448,,0,73H,POINT (-122.5979996 45.58869934),POINT (-71.005203 42.3643),5764918.438950161
AS,439,PDX,3720,DFW,3670,,0,73J,POINT (-122.5979996 45.58869934),POINT (-97.038002 32.896801),3384673.5305507034
AS,439,PDX,3720,DTW,3645,Y,0,739,POINT (-122.5979996 45.58869934),POINT (-83.35340118 42.21239853),4399744.301633808
AS,439,PDX,3720,HNL,3728,,0,73H,POINT (-122.5979996 45.58869934),POINT (-157.924228 21.32062),5123737.0302202385
AS,439,PDX,3720,LAS,3877,,0,73H 73G,POINT (-122.5979996 45.58869934),POINT (-115.151817 36.083361),1629209.6808482236
AS,439,PDX,3720,LAX,3484,,0,734 73H 73G 739 73J,POINT (-122.5979996 45.58869934),POINT (-118.407997 33.942501),1756652.423951845
AS,439,PDX,3720,ORD,3830,,0,73G,POINT (-122.5979996 45.58869934),POINT (-87.9048 41.9786),3901975.865180742
AS,439,PDX,3720,PHX,3462,,0,734 73G 73H,POINT (-122.5979996 45.58869934),POINT (-112.005905 33.435302),2119673.2549007447
AS,439,PDX,3720,SAN,3731,,0,73G 73H 734 73J 739,POINT (-122.5979996 45.58869934),POINT (-117.1900024 32.73360062),1949942.561251408
AS,439,PDX,3720,SFO,3469,,0,734 73G,POINT (-122.5979996 45.58869934),POINT (-122.375 37.61899948),1189198.185579658
AS,439,PDX,3720,SLC,3536,Y,0,757 320 73H,POINT (-122.5979996 45.58869934),POINT (-111.979746 40.785749),1391316.9908012885
AS,439,PDX,3720,SMF,3817,Y,0,DH4,POINT (-122.5979996 45.58869934),POINT (-121.5910034 38.69540024),1042591.360287209
AS,439,PHX,3462,LAX,3484,Y,0,CRJ,POINT (-112.005905 33.435302),POINT (-118.407997 33.942501),715900.8382472782
AS,439,PHX,3462,PDX,3720,,0,734 73G 73H,POINT (-112.005905 33.435302),POINT (-122.5979996 45.58869934),2119673.2549007447
AS,439,PIT,3570,LAX,3484,Y,0,738,POINT (-80.23290253 40.49150085),POINT (-118.407997 33.942501),4347346.360259616
AS,439,RDU,3626,ATL,3682,Y,0,752 M90 M88 320 738 739,POINT (-78.787498 35.877602),POINT (-84.428101 33.6367),697484.609887482
AS,439,RDU,3626,LAX,3484,Y,0,738,POINT (-78.787498 35.877602),POINT (-118.407997 33.942501),4418350.827719052
AS,439,RSW,3793,ATL,3682,Y,0,M90 757 M88,POINT (-81.75520325 26.53619957),POINT (-84.428101 33.6367),961667.8045053267
AS,439,SAN,3731,ATL,3682,Y,0,73H 763 739,POINT (-117.1900024 32.73360062),POINT (-84.428101 33.6367),3649016.0095003634
AS,439,SAN,3731,BOS,3448,,0,73H,POINT (-117.1900024 32.73360062),POINT (-71.005203 42.3643),5317009.470647519
AS,439,SAN,3731,DFW,3670,Y,0,M83 M80 738 757,POINT (-117.1900024 32.73360062),POINT (-97.038002 32.896801),2243414.573198998
AS,439,SAN,3731,DTW,3645,Y,0,753 757,POINT (-117.1900024 32.73360062),POINT (-83.35340118 42.21239853),3995537.6934831818
AS,439,SAN,3731,HNL,3728,,0,73H,POINT (-117.1900024 32.73360062),POINT (-157.924228 21.32062),4754605.328235458
AS,439,SAN,3731,JFK,3797,Y,0,73H 757,POINT (-117.1900024 32.73360062),POINT (-73.779317 40.639447),4955915.916571084
AS,439,SAN,3731,LAX,3484,Y,0,CRJ CR7,POINT (-117.1900024 32.73360062),POINT (-118.407997 33.942501),210553.29649248984
AS,439,SAN,3731,MCO,3878,,0,73H,POINT (-117.1900024 32.73360062),POINT (-81.30899811 28.42939949),4032874.2616001787
AS,439,SAN,3731,MSP,3858,Y,0,320 738 739,POINT (-117.1900024 32.73360062),POINT (-93.221802 44.882),3186979.7148040645
AS,439,SAN,3731,ORD,3830,Y,0,738,POINT (-117.1900024 32.73360062),POINT (-87.9048 41.9786),3508834.002959178
AS,439,SAN,3731,PDX,3720,,0,73J 73H 734 73G,POINT (-117.1900024 32.73360062),POINT (-122.5979996 45.58869934),1949942.561251408
AS,439,SAN,3731,SLC,3536,Y,0,738 319 320,POINT (-117.1900024 32.73360062),POINT (-111.979746 40.785749),1261975.5800643214
AS,439,SFO,3469,DFW,3670,Y,0,738 757 763,POINT (-122.375 37.61899948),POINT (-97.038002 32.896801),2893117.8650546917
AS,439,SFO,3469,JFK,3797,Y,0,763 321,POINT (-122.375 37.61899948),POINT (-73.779317 40.639447),5426993.072085411
AS,439,SFO,3469,LAX,3484,Y,0,738,POINT (-122.375 37.61899948),POINT (-118.407997 33.942501),670592.7870016799
AS,439,SFO,3469,MIA,3576,Y,0,757 763 738,POINT (-122.375 37.61899948),POINT (-80.29060364 25.79319954),4935277.508280272
AS,439,SFO,3469,ORD,3830,Y,0,738,POINT (-122.375 37.61899948),POINT (-87.9048 41.9786),3888908.302573175
AS,439,SFO,3469,PDX,3720,,0,734 73H 73G,POINT (-122.375 37.61899948),POINT (-122.5979996 45.58869934),1189198.185579658
AS,439,SLC,3536,ATL,3682,Y,0,757 763 738,POINT (-111.979746 40.785749),POINT (-84.428101 33.6367),3226149.348462969
AS,439,SLC,3536,CVG,3488,Y,0,73H,POINT (-111.979746 40.785749),POINT (-84.667801 39.048801),3050787.9195467625
AS,439,SLC,3536,LAX,3484,Y,0,757,POINT (-111.979746 40.785749),POINT (-118.407997 33.942501),1197124.02511841
AS,439,SLC,3536,MSY,3861,Y,0,319 320,POINT (-111.979746 40.785749),POINT (-90.25800323 29.99340057),2834030.686327608
AS,439,SLC,3536,PDX,3720,Y,0,320 73H 757,POINT (-111.979746 40.785749),POINT (-122.5979996 45.58869934),1391316.9908012885
AS,439,SLC,3536,SAN,3731,Y,0,319 738 320,POINT (-111.979746 40.785749),POINT (-117.1900024 32.73360062),1261975.5800643214
AS,439,SMF,3817,LAX,3484,Y,0,CRJ,POINT (-121.5910034 38.69540024),POINT (-118.407997 33.942501),746501.5977051329
AS,439,SMF,3817,PDX,3720,Y,0,DH4,POINT (-121.5910034 38.69540024),POINT (-122.5979996 45.58869934),1042591.360287209
AS,439,STL,3678,LAX,3484,Y,0,M83,POINT (-90.370003 38.748697),POINT (-118.407997 33.942501),3191159.6751962686
AZ,596,ATL,3682,AUS,3673,Y,0,M90 M88,POINT (-84.428101 33.6367),POINT (-97.662015 30.197535),1540726.749310107
AZ,596,ATL,3682,BNA,3690,Y,0,320 717,POINT (-84.428101 33.6367),POINT (-86.67819977 36.12450027),420407.7211017597
AZ,596,ATL,3682,BOS,3448,Y,0,M90 757 319,POINT (-84.428101 33.6367),POINT (-71.005203 42.3643),1938914.7982913926
AZ,596,ATL,3682,BWI,3849,Y,0,320 M90,POINT (-84.428101 33.6367),POINT (-76.668297 39.1754),1154995.8810210929
AZ,596,ATL,3682,CLT,3876,Y,0,M88,POINT (-84.428101 33.6367),POINT (-80.94309998 35.2140007),442516.6665160761
AZ,596,ATL,3682,CVG,3488,Y,0,M88 738,POINT (-84.428101 33.6367),POINT (-84.667801 39.048801),749016.3395202017
AZ,596,ATL,3682,DEN,3751,Y,0,M90,POINT (-84.428101 33.6367),POINT (-104.6729965 39.86169815),2414218.981198342
AZ,596,ATL,3682,DFW,3670,Y,0,M88,POINT (-84.428101 33.6367),POINT (-97.038002 32.896801),1407180.059276798
AZ,596,ATL,3682,DTW,3645,Y,0,M90,POINT (-84.428101 33.6367),POINT (-83.35340118 42.21239853),1218612.2887403395
AZ,596,ATL,3682,EWR,3494,Y,0,717,POINT (-84.428101 33.6367),POINT (-74.168701 40.692501),1509447.3798667116
AZ,596,ATL,3682,FLL,3533,Y,0,757,POINT (-84.428101 33.6367),POINT (-80.152702 26.072599),1082308.4779614708
AZ,596,ATL,3682,IAD,3714,Y,0,M88,POINT (-84.428101 33.6367),POINT (-77.455803 38.9445),1067981.2452126755
AZ,596,ATL,3682,IAH,3550,Y,0,320 M88,POINT (-84.428101 33.6367),POINT (-95.34140015 29.9843998),1305729.4582931872
AZ,596,ATL,3682,IND,3585,Y,0,320,POINT (-84.428101 33.6367),POINT (-86.294403 39.7173),869992.6530482855
AZ,596,ATL,3682,JFK,3797,Y,0,319,POINT (-84.428101 33.6367),POINT (-73.779317 40.639447),1537533.7673605252
AZ,596,ATL,3682,LAS,3877,Y,0,753 757,POINT (-84.428101 33.6367),POINT (-115.151817 36.083361),3436222.083251533
AZ,596,ATL,3682,LAX,3484,Y,0,763,POINT (-84.428101 33.6367),POINT (-118.407997 33.942501),3782846.4858771786
AZ,596,ATL,3682,MCI,3458,Y,0,M88 M90,POINT (-84.428101 33.6367),POINT (-94.713898 39.2976),1387847.8861510612
AZ,596,ATL,3682,MCO,3878,Y,0,757,POINT (-84.428101 33.6367),POINT (-81.30899811 28.42939949),760761.437095263
AZ,596,ATL,3682,MEM,3473,Y,0,M88,POINT (-84.428101 33.6367),POINT (-89.97669983 35.04240036),646089.062362635
AZ,596,ATL,3682,MIA,3576,Y,0,M88 757 M90 73H,POINT (-84.428101 33.6367),POINT (-80.29060364 25.79319954),1106999.531285076
AZ,596,ATL,3682,MSP,3858,Y,0,M90,POINT (-84.428101 33.6367),POINT (-93.221802 44.882),1895224.6934125067
AZ,596,ATL,3682,MSY,3861,Y,0,757,POINT (-84.428101 33.6367),POINT (-90.25800323 29.99340057),805672.9580695201
AZ,596,ATL,3682,ORD,3830,Y,0,757 717 M88,POINT (-84.428101 33.6367),POINT (-87.9048 41.9786),1239616.7286364255
AZ,596,ATL,3682,PDX,3720,Y,0,73H 738,POINT (-84.428101 33.6367),POINT (-122.5979996 45.58869934),4589460.524938982
AZ,596,ATL,3682,PHL,3752,Y,0,M88 757,POINT (-84.428101 33.6367),POINT (-75.2410965 39.87189865),1340884.9570231386
AZ,596,ATL,3682,PHX,3462,Y,0,757 738,POINT (-84.428101 33.6367),POINT (-112.005905 33.435302),3070064.922174599
AZ,596,ATL,3682,PIT,3570,Y,0,CR9 M88,POINT (-84.428101 33.6367),POINT (-80.23290253 40.49150085),1065319.3004641905
AZ,596,ATL,3682,RDU,3626,Y,0,M88 320 739,POINT (-84.428101 33.6367),POINT (-78.787498 35.877602),697484.609887482
AZ,596,ATL,3682,RSW,3793,Y,0,757,POINT (-84.428101 33.6367),POINT (-81.75520325 26.53619957),961667.8045053267
AZ,596,ATL,3682,SAN,3731,Y,0,763,POINT (-84.428101 33.6367),POINT (-117.1900024 32.73360062),3649016.0095003634
AZ,596,ATL,3682,SLC,3536,Y,0,763 757,POINT (-84.428101 33.6367),POINT (-111.979746 40.785749),3226149.348462969
AZ,596,ATL,3682,STL,3678,Y,0,M90,POINT (-84.428101 33.6367),POINT (-90.370003 38.748697),967164.7890230841
AZ,596,ATL,3682,TPA,3646,Y,0,757 739,POINT (-84.428101 33.6367),POINT (-82.53320313 27.97550011),763937.7869652105
AZ,596,AUS,3673,ATL,3682,Y,0,M90 M88,POINT (-97.662015 30.197535),POINT (-84.428101 33.6367),1540726.749310107
AZ,596,BNA,3690,ATL,3682,Y,0,M88 717,POINT (-86.67819977 36.12450027),POINT (-84.428101 33.6367),420407.7211017597
AZ,596,BWI,3849,ATL,3682,Y,0,M88 757 M90 717,POINT (-76.668297 39.1754),POINT (-84.428101 33.6367),1154995.8810210929
AZ,596,CLE,3486,ATL,3682,Y,0,717,POINT (-81.84980011 41.4117012),POINT (-84.428101 33.6367),1130186.6918374812
AZ,596,CLT,3876,ATL,3682,Y,0,M90,POINT (-80.94309998 35.2140007),POINT (-84.428101 33.6367),442516.6665160761
AZ,596,CVG,3488,ATL,3682,Y,0,M88 CR9,POINT (-84.667801 39.048801),POINT (-84.428101 33.6367),749016.3395202017
AZ,596,DEN,3751,ATL,3682,Y,0,757,POINT (-104.6729965 39.86169815),POINT (-84.428101 33.6367),2414218.981198342
AZ,596,DFW,3670,ATL,3682,Y,0,M88,POINT (-97.038002 32.896801),POINT (-84.428101 33.6367),1407180.059276798
AZ,596,DTW,3645,ATL,3682,Y,0,M88 73H M90 757,POINT (-83.35340118 42.21239853),POINT (-84.428101 33.6367),1218612.2887403395
AZ,596,EWR,3494,ATL,3682,Y,0,717,POINT (-74.168701 40.692501),POINT (-84.428101 33.6367),1509447.3798667116
AZ,596,FLL,3533,ATL,3682,Y,0,757,POINT (-80.152702 26.072599),POINT (-84.428101 33.6367),1082308.4779614708
AZ,596,IAD,3714,ATL,3682,Y,0,320 M88,POINT (-77.455803 38.9445),POINT (-84.428101 33.6367),1067981.2452126755
AZ,596,IAH,3550,ATL,3682,Y,0,M88 717,POINT (-95.34140015 29.9843998),POINT (-84.428101 33.6367),1305729.4582931872
AZ,596,IND,3585,ATL,3682,Y,0,M88 M90,POINT (-86.294403 39.7173),POINT (-84.428101 33.6367),869992.6530482855
AZ,596,JFK,3797,ATL,3682,Y,0,752 319 M88 738,POINT (-73.779317 40.639447),POINT (-84.428101 33.6367),1537533.7673605252
AZ,596,JFK,3797,MSY,3861,Y,0,CR9,POINT (-73.779317 40.639447),POINT (-90.25800323 29.99340057),2342373.236786362
AZ,596,LAS,3877,ATL,3682,Y,0,757,POINT (-115.151817 36.083361),POINT (-84.428101 33.6367),3436222.083251533
AZ,596,MCI,3458,ATL,3682,Y,0,M88,POINT (-94.713898 39.2976),POINT (-84.428101 33.6367),1387847.8861510612
AZ,596,MCO,3878,ATL,3682,Y,0,757 76W M88,POINT (-81.30899811 28.42939949),POINT (-84.428101 33.6367),760761.437095263
AZ,596,MEM,3473,ATL,3682,Y,0,M88 319 320,POINT (-89.97669983 35.04240036),POINT (-84.428101 33.6367),646089.062362635
AZ,596,MIA,3576,ATL,3682,Y,0,M88 M90,POINT (-80.29060364 25.79319954),POINT (-84.428101 33.6367),1106999.531285076
AZ,596,MSY,3861,ATL,3682,Y,0,M90,POINT (-90.25800323 29.99340057),POINT (-84.428101 33.6367),805672.9580695201
AZ,596,MSY,3861,JFK,3797,Y,0,CR9,POINT (-90.25800323 29.99340057),POINT (-73.779317 40.639447),2342373.236786362
AZ,596,ORD,3830,ATL,3682,Y,0,M88,POINT (-87.9048 41.9786),POINT (-84.428101 33.6367),1239616.7286364255
AZ,596,PHL,3752,ATL,3682,Y,0,M88 M90 738,POINT (-75.2410965 39.87189865),POINT (-84.428101 33.6367),1340884.9570231386
AZ,596,PHX,3462,ATL,3682,Y,0,757 739,POINT (-112.005905 33.435302),POINT (-84.428101 33.6367),3070064.922174599
AZ,596,PIT,3570,ATL,3682,Y,0,M88,POINT (-80.23290253 40.49150085),POINT (-84.428101 33.6367),1065319.3004641905
AZ,596,RDU,3626,ATL,3682,Y,0,752 M90 M88,POINT (-78.787498 35.877602),POINT (-84.428101 33.6367),697484.609887482
AZ,596,RSW,3793,ATL,3682,Y,0,M90,POINT (-81.75520325 26.53619957),POINT (-84.428101 33.6367),961667.8045053267
AZ,596,SAN,3731,ATL,3682,Y,0,73H 763 739,POINT (-117.1900024 32.73360062),POINT (-84.428101 33.6367),3649016.0095003634
AZ,596,SFO,3469,ATL,3682,Y,0,763,POINT (-122.375 37.61899948),POINT (-84.428101 33.6367),4259320.892144342
AZ,596,SLC,3536,ATL,3682,Y,0,763,POINT (-111.979746 40.785749),POINT (-84.428101 33.6367),3226149.348462969
AZ,596,STL,3678,ATL,3682,Y,0,M90 M88,POINT (-90.370003 38.748697),POINT (-84.428101 33.6367),967164.7890230841
AZ,596,TPA,3646,ATL,3682,Y,0,757,POINT (-82.53320313 27.97550011),POINT (-84.428101 33.6367),763937.7869652105
B6,3029,AUS,3673,BOS,3448,,0,E90,POINT (-97.662015 30.197535),POINT (-71.005203 42.3643),3413310.894758524
B6,3029,AUS,3673,FLL,3533,,0,E90,POINT (-97.662015 30.197535),POINT (-80.152702 26.072599),2017529.8519683771
B6,3029,AUS,3673,JFK,3797,,0,320,POINT (-97.662015 30.197535),POINT (-73.779317 40.639447),3018952.3941698773
B6,3029,AUS,3673,MCO,3878,,0,E90 320,POINT (-97.662015 30.197535),POINT (-81.30899811 28.42939949),1834353.3772702012
B6,3029,AUS,3673,SFO,3469,,0,320,POINT (-97.662015 30.197535),POINT (-122.375 37.61899948),2926049.521539713
B6,3029,BOS,3448,AUS,3673,,0,E90,POINT (-71.005203 42.3643),POINT (-97.662015 30.197535),3413310.894758524
B6,3029,BOS,3448,BWI,3849,,0,E90,POINT (-71.005203 42.3643),POINT (-76.668297 39.1754),785664.2686505289
B6,3029,BOS,3448,CLT,3876,,0,E90,POINT (-71.005203 42.3643),POINT (-80.94309998 35.2140007),1506580.9954156724
B6,3029,BOS,3448,DEN,3751,,0,320,POINT (-71.005203 42.3643),POINT (-104.6729965 39.86169815),3766085.4806735795
B6,3029,BOS,3448,DFW,3670,,0,E90,POINT (-71.005203 42.3643),POINT (-97.038002 32.896801),3190292.1839163997
B6,3029,BOS,3448,DTW,3645,,0,E90,POINT (-71.005203 42.3643),POINT (-83.35340118 42.21239853),1374785.1719529438
B6,3029,BOS,3448,EWR,3494,,0,E90,POINT (-71.005203 42.3643),POINT (-74.168701 40.692501),431075.30628396984
B6,3029,BOS,3448,FLL,3533,,0,320 E90,POINT (-71.005203 42.3643),POINT (-80.152702 26.072599),2431164.683763898
B6,3029,BOS,3448,IAD,3714,,0,E90,POINT (-71.005203 42.3643),POINT (-77.455803 38.9445),876140.080292168
B6,3029,BOS,3448,JFK,3797,,0,320 E90,POINT (-71.005203 42.3643),POINT (-73.779317 40.639447),401382.0474806486
B6,3029,BOS,3448,LAS,3877,,0,320,POINT (-71.005203 42.3643),POINT (-115.151817 36.083361),4996761.604237029
B6,3029,BOS,3448,LAX,3484,,0,320,POINT (-71.005203 42.3643),POINT (-118.407997 33.942501),5410390.171388201
B6,3029,BOS,3448,MCO,3878,,0,320 E90,POINT (-71.005203 42.3643),POINT (-81.30899811 28.42939949),2230077.623999797
B6,3029,BOS,3448,MSY,3861,,0,E90,POINT (-71.005203 42.3643),POINT (-90.25800323 29.99340057),2743673.6110514514
B6,3029,BOS,3448,ORD,3830,,0,320 E90,POINT (-71.005203 42.3643),POINT (-87.9048 41.9786),1882146.3295604843
B6,3029,BOS,3448,PDX,3720,,0,320,POINT (-71.005203 42.3643),POINT (-122.5979996 45.58869934),5764918.438950161
B6,3029,BOS,3448,PHL,3752,,0,E90,POINT (-71.005203 42.3643),POINT (-75.2410965 39.87189865),598363.3070259973
B6,3029,BOS,3448,PHX,3462,,0,320,POINT (-71.005203 42.3643),POINT (-112.005905 33.435302),4735564.476534443
B6,3029,BOS,3448,PIT,3570,,0,E90,POINT (-71.005203 42.3643),POINT (-80.23290253 40.49150085),1064197.486168947
B6,3029,BOS,3448,RDU,3626,,0,E90,POINT (-71.005203 42.3643),POINT (-78.787498 35.877602),1272390.1289382372
B6,3029,BOS,3448,RSW,3793,,0,320,POINT (-71.005203 42.3643),POINT (-81.75520325 26.53619957),2460654.8729896178
B6,3029,BOS,3448,SAN,3731,,0,320,POINT (-71.005203 42.3643),POINT (-117.1900024 32.73360062),5317009.470647519
B6,3029,BOS,3448,SFO,3469,,0,320,POINT (-71.005203 42.3643),POINT (-122.375 37.61899948),5759933.348745595
B6,3029,BOS,3448,TPA,3646,,0,320,POINT (-71.005203 42.3643),POINT (-82.53320313 27.97550011),2350964.4192341003
B6,3029,BWI,3849,BOS,3448,,0,E90,POINT (-76.668297 39.1754),POINT (-71.005203 42.3643),785664.2686505289
B6,3029,CLT,3876,BOS,3448,,0,E90,POINT (-80.94309998 35.2140007),POINT (-71.005203 42.3643),1506580.9954156724
